Rule	Conda environment	Docker container
get_fastq_SRA	workflow/envs/ucsc_bedgraph_to_bigwig.yaml	docker://quay.io/biocontainers/sra-tools:3.1.1--h4304569_0
bam2fastq	workflow/envs/samtools.yaml	docker://quay.io/biocontainers/samtools:1.20--h50ea8bc_0
fastp	workflow/envs/fastp.yaml	docker://quay.io/biocontainers/fastp:0.23.4--h125f33a_5
star	workflow/envs/star.yaml	docker://quay.io/biocontainers/star:2.7.11b--h43eeafb_2
bedGraphToBigWig	workflow/envs/ucsc_bedgraph_to_bigwig.yaml	docker://quay.io/biocontainers/ucsc-bedgraphtobigwig:472--h9b8f530_1
qualimap	workflow/envs/qualimap.yaml	docker://quay.io/biocontainers/qualimap:2.3--hdfd78af_0
insert_size	workflow/envs/rseqc.yaml	docker://quay.io/biocontainers/rseqc:5.0.4--pyhdfd78af_0
salmon	workflow/envs/salmon.yaml	docker://quay.io/biocontainers/salmon:1.10.3--h6dccd9a_2
samtools_index	workflow/envs/samtools.yaml	docker://quay.io/biocontainers/samtools:1.20--h50ea8bc_0
fraser	workflow/envs/fraser.yaml	docker://quay.io/biocontainers/bioconductor-fraser:1.99.4--r43hf17093f_0
parse_junctions	workflow/envs/R.yaml	docker://tronbioinformatics/splice2neo:0.6.12
calculate_junction_cpm	workflow/envs/python.yaml	None
filter_mappability	workflow/envs/R.yaml	docker://tronbioinformatics/splice2neo:0.6.12
add_context_sequence	workflow/envs/R.yaml	docker://tronbioinformatics/splice2neo:0.6.12
add_transcript_expression	workflow/envs/R.yaml	docker://tronbioinformatics/splice2neo:0.6.12
prepare_requant	workflow/envs/R.yaml	docker://tronbioinformatics/splice2neo:0.6.12
generate_context_fa	workflow/envs/easyquant.yaml	docker://tronbioinformatics/easyquant:0.6.0
bowtie_index	workflow/envs/easyquant.yaml	docker://tronbioinformatics/easyquant:0.6.0
bowtie_align	workflow/envs/easyquant.yaml	docker://tronbioinformatics/easyquant:0.6.0
requantify	workflow/envs/easyquant.yaml	docker://tronbioinformatics/easyquant:0.6.0
add_quant_counts	workflow/envs/R.yaml	docker://tronbioinformatics/splice2neo:0.6.12
translate_to_peptide	workflow/envs/R.yaml	docker://tronbioinformatics/splice2neo:0.6.12
find_cts_matching_wt	workflow/envs/blast.yaml	None
